Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/02/08 10:50:48 am GMT-8,BMGT,Female,23,170.0,69.0,2500.0,4500.0,4. Other,Yes,1500.0,3. Drive,200.0,100.0,2. Ambidextrous,90.0,No,9.6875,1,No,6,18,84,6,Yes,Yes,2.0,23.87543252595156
2019/02/08 10:51:40 am GMT-8,BMGT,Male,26,190.0,77.0,3000.0,6200.0,1. Large Corporation,Yes,450.0,3. Drive,160.0,40.0,0. Right-handed,60.0,Yes,11.25,8,No,6,2,7,6.5,Yes,Yes,4.0,21.329639889196677
2019/02/08 10:52:34 am GMT-8,BMGT,Female,19,170.6,70.4,3800.0,4750.0,1. Large Corporation,Yes,1200.0,3. Drive,,100.0,0. Right-handed,0.0,No,9.8,3,Yes,8,3,30,16-24,Yes,Yes,1.0,24.188815696342406
2019/02/08 10:54:38 am GMT-8,BMGT,Male,19,188.0,69.0,2000.0,3500.0,2. Small Company,Yes,0.0,3. Drive,150.0,150.0,0. Right-handed,55.0,No,10.6,4,No,7,10,20,5,Yes,No,1.0,19.52240832956089
2019/02/08 12:16:58 pm GMT-8,BMGT,Female,19,168.0,62.3,0.0,3200.0,1. Large Corporation,No,1100.0,1. Walk,0.0,120.0,0. Right-handed,45.0,Yes,7.5,3,Yes,6,,,0,Yes,Yes,0.0,22.0734126984127
2019/02/08 12:39:22 pm GMT-8,BMGT,Female,26,165.0,48.0,0.0,3000.0,1. Large Corporation,No,800.0,2. Public Transport,100.0,,0. Right-handed,48.0,Yes,idk,it depends,Yes,8,22,60,0,Yes,No,0.0,17.63085399449036
2019/02/11 11:36:09 am GMT-8,HRMG,Female,27,175.0,74.0,3600.0,4500.0,4. Other,No,1200.0,5. Other,10.0,10.0,0. Right-handed,85.0,No,,6,No,8,3,6,0,Yes,No,2.0,24.163265306122447
2019/02/14 8:22:04 pm GMT-8,BMGT,Female,24,162.0,99.0,0.0,5000.0,1. Large Corporation,No,,3. Drive,,,0. Right-handed,,Yes,40,0,No,7,3,5,0,Yes,No,0.0,37.722908093278456
2019/02/22 9:07:22 am GMT-8,BMGT,Male,20,180.0,70.0,2500.0,4500.0,3. Non-profit or Government Agency,Yes,0.0,3. Drive,100.0,100.0,0. Right-handed,80.0,No,10.5,1,No,7,4,12,0,Yes,No,1.0,21.604938271604937
2019/09/09 5:01:07 pm GMT-7,BABI,Female,33,167.0,70.0,4000.0,4000.0,1. Large Corporation,No,2500.0,2. Public Transport,70.0,250.0,0. Right-handed,120.0,Yes,9.68,0,No,7,1,0,40,No,Yes,0.0,25.099501595611173
